Apple_iPhone_7_Plus 1 256 4 2.2 3 5.5 12 2
Apple_iPhone_7 1 256 4 2 2 4.7 12 2
Motorola_Moto_Z_Force 1 200 4 2.2 4 5.5 21 2
Motorola_Moto_X_Play 2 128 8 1.4 2 5.5 21 2
Motorola_Moto_X_Style 2 128 6 1.6 3 5.7 21 2
Motorola_Moto_Maxx 1 128 4 2.7 3 5.2 21 2
Xiaomi_Mi_Max_128GB 2 128 8 1.6 4 6.44 16 2
Xiaomi_Mi_Mix 2 128 4 2.4 4 6.4 16 2
Xiaomi_Mi_5_Exclusive_Edition 2 128 4 2.2 4 5.15 16 2
Motorola_Moto_G4_Plus 2 128 4 1.4 2 5.5 16 2
Xiaomi_Mi_6 2 128 8 2.2 6 5.15 12 2
Lenovo_ZUK_Z2_Pro_128GB 2 128 4 2.2 6 5.2 13 2
Motorola_Moto_G5_Plus 2 128 8 2 2 5.2 12 2
AsusZenFone_Zoom 2 128 4 2.5 4 5.5 13 2
Motorola_Moto_G5 2 128 4 1.3 2 5.0 13 2
Apple_iPhone_6s_Plus 1 128 2 2 2 5.5 12 2
Apple_iPhone_6s 1 128 2 1.8 2 4.7 12 2
Apple_iPhone_6_Plus 1 128 2 1.4 1 5.5 8 2
Apple_iPhone_6 1 128 2 1.4 1 4.7 8 2
Asus_P552W 1 128 1 0.6 0.12 2.8 2 2
Asus_P550 1 64 1 0.52 64 3.5 2 2
Asus_P735 1 64 1 0.52 64 2.8 2 2
Asus_ZenFone_3_Ultra 2 64 8 1.6 3 6.8 23 2
Asus_ZenFone_3_Deluxe 2 64 4 2.2 6 5.7 23 2
Xiaomi_Mi_Note_2 2 64 4 2.4 4 5.7 22.5 2
Lenovo_Phab2_Pro 2 64 8 1.6 4 6.4 16 2
Asus_ZenFone_3_tela_5.5 2 64 8 2 4 5.5 16 2
Xiaomi_Redmi_Note_4_64bg 2 64 10 1.8 3 5.5 13 2
Xiaomi_Mi_Note_Pro 2 64 8 1.8 4 5.7 13 2
Xiaomi_Redmi_Note_4X 2 64 8 2 4 5.5 13 2
Lenovo_Zuk_Edge 2 64 4 2.4 6 5.5 13 2
Xiaomi_mi_5s_Plus 2 64 4 2.4 4 5.7 13 2
Lenovo_Zuk_Z2 2 64 4 2.2 4 5 13 2
Asus_Padfone_2 1 64 4 1.5 2 4.7 13 2
Xiaomi_mi_5s 2 64 4 2.2 3 5.15 12 1
Apple_iPhone_SE 1 64 2 1.8 2 4 12 1
Apple_iPhone_5S 1 64 2 1.3 1 4 8 1
Apple_iPhone_5 1 64 2 1.3 1 4 8 1
Apple_iPhone_4S 1 64 2 1 0.5 3.5 8 1
Asus_Zenfone_3_Max_tela_5.5 2 32 8 1.3 3 5.5 16 1
Lenovo_Vibe_K6_Plus 2 32 8 1.3 3 5.5 16 1
Asus_Zenfone_3_Max_2_GB_RAM 2 32 8 1.3 2 5.5 16 1
Xiaomi_Mi_Max_32GB 2 32 6 1.8 3 6.4 16 1
Lenovo_P2 2 32 8 2 3 5.5 13 1
Asus_ZenFone_Selfie 2 32 8 1.4 3 5.5 13 1
